event_slug,city,event_date,cohort,scope,rows,coverage,zero_rate,ic,crossing_markout,top1_update_share,top3_update_share,top1_trade_share,top3_trade_share,top1_probability_mass,top3_probability_mass,active_market_count
highest-temperature-in-panama-city-on-june-9-2026,Panama City,2026-06-09,clean,all_market,22755,0.9990331795209844,0.835525447587208,0.04229944623888046,-0.010207237715803454,0.11982881843684749,0.41968881095368893,0.19736842105263158,0.6447368421052632,0.37566385872785474,0.8508917428486007,4.799807042932947
highest-temperature-in-panama-city-on-june-9-2026,Panama City,2026-06-09,clean,dynamic_active,9950,0.9993969849246231,0.6922767497988737,0.06399380201352466,-0.019525739764896636,0.1786601197974241,0.6257397362400061,0.19736842105263158,0.6447368421052632,0.4036957769575035,0.9153801570939174,4.799807042932947
highest-temperature-in-shenzhen-on-june-9-2026,Shenzhen,2026-06-09,clean,all_market,36428,0.9993960689579444,0.8014063615887491,0.05433038209418921,-0.011450527045769762,0.173334930036007,0.47584378294044977,0.17666666666666667,0.42944444444444446,0.33818805136865293,0.7401263272429973,5.506940253470127
highest-temperature-in-shenzhen-on-june-9-2026,Shenzhen,2026-06-09,clean,dynamic_active,18250,0.9996712328767123,0.6693707520280641,0.08768907032044067,-0.017920821032696484,0.21257122090490688,0.5835563200022569,0.17666666666666667,0.42944444444444446,0.386490758487974,0.8615141874922874,5.506940253470127
highest-temperature-in-seoul-on-june-9-2026,Seoul,2026-06-09,clean,all_market,33040,0.9993946731234867,0.8304663840096911,0.08026994159803176,-0.00574581268808706,0.17279288429758038,0.5691374884262485,0.32445431002589714,0.7732149463559008,0.42053121466062676,0.7993020597601002,5.205197944998489
highest-temperature-in-seoul-on-june-9-2026,Seoul,2026-06-09,clean,dynamic_active,17224,0.9996516488620529,0.7277267975374608,0.11193826903451949,-0.009174221625094925,0.19563249729602125,0.6443655861074802,0.32445431002589714,0.7732149463559008,0.4392846328970919,0.8414566961495014,5.205197944998489
highest-temperature-in-seattle-on-june-10-2026,Seattle,2026-06-10,clean,all_market,22030,0.9990013617793917,0.8518266085059978,0.03713797348040157,-0.007294792284189886,0.12066903385451905,0.40577519180909455,0.30303030303030304,0.8080808080808081,0.4077765762864006,0.8583013633818221,4.434847728407389
highest-temperature-in-seattle-on-june-10-2026,Seattle,2026-06-10,clean,dynamic_active,8883,0.9988742541934031,0.7608475149329427,0.05571546574322058,-0.013157840909090909,0.21475627646912282,0.7221634788385418,0.30303030303030304,0.8080808080808081,0.4524035937951662,0.9547420681591875,4.434847728407389
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,all_market,33178,0.999397190909639,0.7667832800530792,0.03885138656975333,-0.01171229178107267,0.1454308434839208,0.4265894117421521,0.42724458204334365,0.7244582043343654,0.40870016237155365,0.8172284369426959,4.763482976800241
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,dynamic_active,15810,0.9996204933586338,0.7212730954188813,0.041665662364982294,-0.017076495398773008,0.21672641194996362,0.6357192901308047,0.42724458204334365,0.7244582043343654,0.4519904918146195,0.9174211140313328,4.763482976800241
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,all_market,33100,0.9993957703927493,0.8084340991535671,0.0492328710475078,-0.009216504530714913,0.14099670056755964,0.4966440263095741,0.36809815950920244,0.6625766871165644,0.4286401267633371,0.8978855512624483,4.700996677740863
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,dynamic_active,15565,0.9996145197558625,0.7067934957259464,0.05707827379053977,-0.015401931649331353,0.209035993085966,0.7363043023839411,0.36809815950920244,0.6625766871165644,0.4561948627059645,0.9629312632138237,4.700996677740863
highest-temperature-in-shanghai-on-june-10-2026,Shanghai,2026-06-10,clean,all_market,36619,0.9993992189846801,0.8202858157772495,0.06998945658233549,-0.006098424873305026,0.14371893772959068,0.4382437173290458,0.26335174953959484,0.6789441375076735,0.44110459855321027,0.8301104851598003,5.448948948948949
highest-temperature-in-shanghai-on-june-10-2026,Shanghai,2026-06-10,clean,dynamic_active,18145,0.9996693303940479,0.7300292188102983,0.0931409505219888,-0.009096594684385385,0.191682004427945,0.5844980173986462,0.26335174953959484,0.6789441375076735,0.47544544780687203,0.9087019274685848,5.448948948948949
highest-temperature-in-austin-on-june-11-2026,Austin,2026-06-11,degraded,all_market,17178,0.9987192921178252,0.850897645138727,0.032977096870251875,-0.0074587891196256206,0.12974053435158645,0.41698197946402926,0.19540229885057472,0.6781609195402298,0.40664835379807057,0.8548559236984902,5.099871959026888
highest-temperature-in-austin-on-june-11-2026,Austin,2026-06-11,degraded,dynamic_active,7966,0.9987446648255084,0.7932378079436903,0.056837455312199144,-0.011014666835250979,0.21888892140889682,0.7035020796545074,0.19540229885057472,0.6781609195402298,0.44129400476286235,0.928437777017312,5.099871959026888
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,all_market,30448,0.9992774566473989,0.8680733583119701,0.06459882404013066,-0.006659656053915873,0.10150665906103519,0.357808586096575,0.24778761061946902,0.7300884955752213,0.4097481660075862,0.875977713180494,4.824187725631769
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,dynamic_active,13363,0.9992516650452743,0.7731595896053322,0.07703726865821296,-0.010616915046523945,0.16942427579126892,0.5972165878778345,0.24778761061946902,0.7300884955752213,0.4385635636896503,0.9398353513155726,4.824187725631769
highest-temperature-in-manila-on-june-11-2026,Manila,2026-06-11,degraded,all_market,30984,0.9992899561063775,0.8238808862476584,0.049563227287987725,-0.008231914543960559,0.1462879217803241,0.41990813413948913,0.3057644110275689,0.6892230576441103,0.3828114547637202,0.8392910505502096,5.127040454222853
highest-temperature-in-manila-on-june-11-2026,Manila,2026-06-11,degraded,dynamic_active,14448,0.9991694352159468,0.7481989470767526,0.08158891767694149,-0.013362870833626946,0.21812286365892147,0.6261047636572487,0.3057644110275689,0.6892230576441103,0.42233301358510433,0.9287251762624782,5.127040454222853
highest-temperature-in-karachi-on-june-11-2026,Karachi,2026-06-11,degraded,all_market,30410,0.9992765537652089,0.8022574700539686,0.05261146061501971,-0.008065281800326242,0.11005729793847048,0.36011729106358265,0.17684887459807075,0.47266881028938906,0.32873466852942573,0.753904600714088,6.060671722643554
highest-temperature-in-karachi-on-june-11-2026,Karachi,2026-06-11,degraded,dynamic_active,16782,0.9994041234656179,0.7021225852611496,0.07000770075363599,-0.010985342019543974,0.1501148060485488,0.4911890289452784,0.17684887459807075,0.47266881028938906,0.37094775964304233,0.8541638914806453,6.060671722643554
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,all_market,1450,0.9848275862068966,0.7955182072829131,0.14187868932098757,-0.028226800296956202,0.08828417116742833,0.25488159534690485,0.0,0.0,0.30200989174875614,0.715863113367982,5.598484848484849
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,dynamic_active,739,0.9891745602165088,0.7127222982216143,0.19195542684664044,-0.030138461538461538,0.141149119893723,0.40750581202258385,0.0,0.0,0.3763181759875545,0.8913009435949107,5.598484848484849
highest-temperature-in-istanbul-on-june-12-2026,Istanbul,2026-06-12,degraded,all_market,14531,0.9984859954579863,0.8036391205458681,0.027580671440867028,-0.019318731327728756,0.13278136516693098,0.3000213577144519,0.6086956521739131,0.782608695652174,0.38275555533159655,0.7723388475452947,4.757369614512472
highest-temperature-in-istanbul-on-june-12-2026,Istanbul,2026-06-12,degraded,dynamic_active,6294,0.9984111852557992,0.7172183322724379,0.02941309724321883,-0.029161774193548387,0.26036979282691025,0.5883092002673201,0.6086956521739131,0.782608695652174,0.4659054978016225,0.9410831553591646,4.757369614512472
highest-temperature-in-tokyo-on-june-12-2026,Tokyo,2026-06-12,degraded,all_market,15233,0.9985557670846189,0.8326868713431069,0.05369595720252259,-0.010286861941285376,0.11817095319610872,0.3710753204459104,0.1686746987951807,0.6746987951807228,0.3189561140844688,0.7596256380100096,4.3444043321299635
highest-temperature-in-tokyo-on-june-12-2026,Tokyo,2026-06-12,degraded,dynamic_active,6017,0.9983380422137278,0.7359746961877809,0.06611775295614102,-0.01657436974789916,0.21689568794992026,0.6810864661113958,0.1686746987951807,0.6746987951807228,0.3754086156546768,0.8949433560489656,4.3444043321299635
highest-temperature-in-busan-on-june-12-2026,Busan,2026-06-12,degraded,all_market,13840,0.9985549132947977,0.8549927641099855,0.04304627841022881,-0.011436263096623983,0.11233427832902526,0.550910948053031,0.25,0.5714285714285714,0.35150418944367684,0.8217237971970097,4.438583815028902
highest-temperature-in-busan-on-june-12-2026,Busan,2026-06-12,degraded,dynamic_active,6143,0.9986977047045418,0.830480847595762,0.04976092372822566,-0.015384282683205484,0.16766539725209081,0.8222664028275587,0.25,0.5714285714285714,0.4114300226254694,0.961775190135246,4.438583815028902
