event_slug,market_label,token_id,factor,horizon_seconds,valid_rows,nonzero_rows,spearman_ic,nonzero_hit_rate,average_win_move,average_loss_move,zero_return_share,top_minus_bottom
highest-temperature-in-jeddah-on-june-10-2026,32°C,100275508806933640935915942228328536956852910734429628914578912877340736474614,depth_imbalance_1,600,13577,3702,-0.21437061898204515,0.288762830902215,0.0009532273152478953,0.0006534371439422713,0.7273329896147898,-0.00029238307691182647
highest-temperature-in-jeddah-on-june-10-2026,33°C,50881037713860373104755762080366031606024646856226840065229749963726034074108,depth_imbalance_1,30,16047,1072,0.06465744116493566,0.6800373134328358,0.0008566529492455417,0.0006909620991253645,0.9331962360565837,5.635514553197479e-05
highest-temperature-in-jeddah-on-june-10-2026,33°C,50881037713860373104755762080366031606024646856226840065229749963726034074108,depth_imbalance_1,120,15967,1982,0.07479309333925553,0.6417759838546923,0.0008580974842767294,0.0007711267605633801,0.8758063505981086,0.00010304634825790303
highest-temperature-in-jeddah-on-june-10-2026,33°C,50881037713860373104755762080366031606024646856226840065229749963726034074108,depth_imbalance_1,600,15721,4573,-0.051566644918152736,0.49136234419418323,0.0010925678682688026,0.0007431212381771277,0.7090515870491699,-7.304289190896961e-05
highest-temperature-in-jeddah-on-june-10-2026,34°C,21666897611333846691507842010808314494264834445675783626543202625078631245471,depth_imbalance_1,30,15780,3555,0.268252512381479,0.480168776371308,0.000691857059168131,0.0006647727272727271,0.7747148288973384,0.0002263663393233486
highest-temperature-in-jeddah-on-june-10-2026,34°C,21666897611333846691507842010808314494264834445675783626543202625078631245471,depth_imbalance_1,120,15681,4388,0.29303045640174585,0.5184594348222424,0.0007281318681318681,0.0007626597255087552,0.720170907467636,0.00031597730123536245
highest-temperature-in-jeddah-on-june-10-2026,34°C,21666897611333846691507842010808314494264834445675783626543202625078631245471,depth_imbalance_1,600,15363,7325,0.2575052282763718,0.5445733788395904,0.0007224868388067184,0.0007225719424460428,0.5232051031699538,0.0002791781712532024
highest-temperature-in-jeddah-on-june-10-2026,35°C,108647779923949517757844051049840727456361039949690316416583344732867413225928,depth_imbalance_1,30,40984,6769,-0.004350539024395853,0.5022898507903678,0.0010239705882352944,0.0011959038290293858,0.8345207886004294,1.6214406368453526e-05
highest-temperature-in-jeddah-on-june-10-2026,35°C,108647779923949517757844051049840727456361039949690316416583344732867413225928,depth_imbalance_1,120,40915,6556,0.003966670632432891,0.512660158633313,0.002532430824159477,0.0015953051643192492,0.8394476353415617,0.0004443473682248566
highest-temperature-in-jeddah-on-june-10-2026,35°C,108647779923949517757844051049840727456361039949690316416583344732867413225928,depth_imbalance_1,600,40689,14591,-0.01635165707810164,0.48338016585566446,0.0032596767333049766,0.0021376359777129216,0.6410823564108236,0.0012410478757500796
