event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:52:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,23334.267,40.817,0.030000000000000027,0.006999999999999999,23322.868,True,0.7609999999999999,0.832
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-10 04:44:00+00:00,6-24h,11,10,10,False,0.7969999999999998,-0.20300000000000018,72222.726,2.767,0.07999999999999996,0.003,72221.785,True,0.697,0.897
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-10 04:45:00+00:00,6-24h,11,10,10,False,0.7969999999999998,-0.20300000000000018,72282.726,1.0905,0.06,0.003,72282.714,True,0.707,0.8870000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:12:00+00:00,6-24h,11,7,7,False,0.7969999999999999,-0.20300000000000007,20934.267,30.245,0.020000000000000004,0.008,20928.584,True,0.7709999999999999,0.823
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:11:00+00:00,6-24h,11,7,7,False,0.7969999999999999,-0.20300000000000007,20874.267,10.754,0.020000000000000004,0.008,20872.214,True,0.7709999999999999,0.823
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:44:00+00:00,>24h,11,11,11,True,1.2019999999999997,0.20199999999999974,50.884,15.327,0.14,0.03999999999999998,45.825,False,0.9690000000000001,1.435
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:55:00+00:00,>24h,11,11,11,True,1.2019999999999997,0.20199999999999974,54.213,12.433,0.14,0.03999999999999998,50.455,False,0.9690000000000001,1.435
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:54:00+00:00,>24h,11,11,11,True,1.2019999999999997,0.20199999999999974,17.281,2.434,0.14,0.03999999999999998,17.189,False,0.9590000000000001,1.4449999999999998
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:53:00+00:00,>24h,11,11,11,True,1.2019999999999997,0.20199999999999974,79.974,16.076,0.14,0.03999999999999998,69.657,False,0.9690000000000001,1.435
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 12:02:00+00:00,6-24h,11,7,6,False,0.7985,-0.2015,27.445,1.4605,0.04000000000000001,0.013000000000000005,27.077,True,0.754,0.8430000000000001
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:52:00+00:00,>24h,11,11,11,True,1.2014999999999998,0.2014999999999998,60.998,25.947,0.139,0.03999999999999998,55.699,False,0.9690000000000001,1.434
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:51:00+00:00,>24h,11,11,11,True,1.2014999999999998,0.2014999999999998,43.991,6.866,0.139,0.03999999999999998,42.993,False,0.9690000000000001,1.434
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:47:00+00:00,>24h,11,11,11,True,1.2014999999999998,0.2014999999999998,30.832,30.696,0.139,0.03999999999999998,26.22,False,0.9690000000000001,1.434
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-05 07:15:00+00:00,1-6h,11,7,7,False,0.799,-0.20099999999999996,64314.267,11340.92,0.030000000000000027,0.001,64314.172,True,0.775,0.8230000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-05 06:21:00+00:00,1-6h,11,7,7,False,0.799,-0.20099999999999996,61074.267,8100.92,0.010000000000000009,0.001,61073.525,True,0.786,0.812
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-05 07:13:00+00:00,1-6h,11,7,7,False,0.7995,-0.2005,64194.267,11220.92,0.06000000000000005,0.001,64192.434,True,0.756,0.8430000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-05 07:14:00+00:00,1-6h,11,7,7,False,0.7995,-0.2005,64254.267,11280.92,0.040000000000000036,0.001,64253.711,True,0.766,0.8330000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 10:43:00+00:00,>24h,11,7,6,False,0.7999999999999999,-0.20000000000000007,16.5,1.909,0.11000000000000001,0.0405,15.347,True,0.6729999999999999,0.927
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,2026-06-04 11:08:00+00:00,<1h,11,11,11,True,1.1995,0.1995,33424.016,9209.137,0.38,0.002,33423.886,False,0.8500000000000001,1.5490000000000002
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,clean,2026-06-05 05:58:00+00:00,6-24h,11,11,11,True,1.1994999999999998,0.1994999999999998,69849.429,4278.25,0.32999999999999996,0.002,69849.395,False,0.7869999999999999,1.6119999999999997
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 11:02:00+00:00,>24h,11,7,6,False,0.8009999999999999,-0.19900000000000007,6.932,0.3255,0.04000000000000001,0.01800000000000001,6.789,True,0.741,0.861
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 07:52:00+00:00,>24h,11,10,10,False,0.8014999999999998,-0.19850000000000023,4.217,4.1385000000000005,0.04000000000000001,0.006500000000000001,2.004,True,0.7410000000000001,0.8620000000000001
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 07:51:00+00:00,>24h,11,10,10,False,0.8014999999999999,-0.19850000000000012,13.495,9.4565,0.030000000000000027,0.006500000000000001,13.41,True,0.7410000000000001,0.8620000000000001
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 07:50:00+00:00,>24h,11,10,10,False,0.8014999999999999,-0.19850000000000012,1.053,0.544,0.03999999999999998,0.006500000000000001,0.824,True,0.741,0.8620000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:48:00+00:00,6-24h,11,7,7,False,0.8015000000000001,-0.1984999999999999,23094.267,5.452,0.020000000000000018,0.006999999999999999,23091.872,True,0.7709999999999999,0.832
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:46:00+00:00,6-24h,11,7,7,False,0.8015000000000001,-0.1984999999999999,22974.267,10.305,0.020000000000000018,0.006999999999999999,22969.163,True,0.7709999999999999,0.832
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:45:00+00:00,6-24h,11,7,7,False,0.8015000000000001,-0.1984999999999999,22914.267,17.428,0.020000000000000018,0.006999999999999999,22911.075,True,0.7709999999999999,0.832
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:47:00+00:00,6-24h,11,7,7,False,0.8015000000000001,-0.1984999999999999,23034.267,0.929,0.020000000000000018,0.006999999999999999,23034.147,True,0.7709999999999999,0.832
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-10 04:43:00+00:00,6-24h,11,10,10,False,0.8019999999999999,-0.19800000000000006,72162.726,1.2570000000000001,0.07999999999999996,0.003,72162.481,True,0.6869999999999999,0.9169999999999999
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,2026-06-04 10:46:00+00:00,1-6h,11,11,11,True,1.198,0.19799999999999995,32104.016,7889.137,0.38,0.002,32104.015,False,0.8480000000000001,1.548
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,2026-06-04 11:25:00+00:00,<1h,11,11,11,True,1.1975000000000002,0.19750000000000023,34444.016,10229.137,0.38,0.002,34443.928,False,0.8490000000000001,1.546
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 04:40:00+00:00,>24h,11,10,10,False,1.1975,0.1975,9.611,9.5435,0.52,0.1545,9.506,True,0.465,1.9300000000000002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 04:41:00+00:00,>24h,11,10,10,False,1.1975,0.1975,2.884,2.8600000000000003,0.5,0.1545,0.139,True,0.47500000000000003,1.92
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-05 06:15:00+00:00,1-6h,11,7,7,False,0.8029999999999999,-0.19700000000000006,60714.267,7740.92,0.030000000000000027,0.001,60713.12,True,0.7749999999999999,0.831
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:43:00+00:00,>24h,11,11,11,True,1.1969999999999998,0.19699999999999984,31.144,31.054,0.14,0.03999999999999998,24.929,False,0.9590000000000001,1.435
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-05 07:24:00+00:00,1-6h,11,7,7,False,0.8035,-0.1965,64854.267,11880.92,0.09000000000000008,0.001,64848.808,True,0.745,0.8620000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-05 07:23:00+00:00,1-6h,11,7,7,False,0.8035,-0.1965,64794.267,11820.92,0.09000000000000008,0.001,64794.247,True,0.745,0.8620000000000001
highest-temperature-in-mexico-city-on-june-6-2026,Mexico City,2026-06-06,degraded,2026-06-05 04:39:00+00:00,>24h,11,11,9,False,1.1965,0.1964999999999999,11.979,4.89,0.159,0.12,10.438,False,0.78,1.613
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:50:00+00:00,>24h,11,11,11,True,1.1964999999999997,0.19649999999999967,141.585,75.309,0.139,0.03999999999999998,141.262,False,0.9590000000000001,1.434
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:49:00+00:00,>24h,11,11,11,True,1.1964999999999997,0.19649999999999967,150.696,15.326,0.139,0.03999999999999998,139.734,False,0.9590000000000001,1.434
