event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,sum_mid,sum_deviation,implied_temperature,distribution_variance,distribution_width,entropy,top3_probability_mass,active_market_count,valid_market_count,updates,trades,spread_median,spread_p90,probability_mass_flow,pressure_factor,future_mean_move,future_entropy_change
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:06:00+00:00,>24h,0.989,-0.01100000000000001,27.445399393326596,2.5493443551462445,1.5966666387027206,1.7378034994946179,0.7735085945399394,5,10,227,0,0.020000000000000018,0.05790000000000001,0.0,-0.40132628133310133,-0.0017409799865255593,0.0007589791569635462
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:07:00+00:00,>24h,0.989,-0.01100000000000001,27.445399393326596,2.5493443551462445,1.5966666387027206,1.7378034994946179,0.7735085945399394,5,10,195,0,0.020000000000000018,0.05970000000000001,0.0,-0.4801159386216978,0.029210963636703724,-0.0010731751320938177
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:08:00+00:00,>24h,0.9895,-0.010499999999999954,27.44365841334007,2.5540514972649913,1.5981400117840086,1.7385624786515814,0.7731177362304194,5,10,502,0,0.020000000000000018,0.05970000000000001,0.0017409799865255593,-0.378160212165133,0.01450690924057696,-0.0016882700477844903
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:09:00+00:00,>24h,0.9945,-0.005499999999999949,27.4746103569633,2.4916881965945934,1.578508218728871,1.736730324362524,0.7692307692307694,5,10,449,0,0.020000000000000018,0.058800000000000005,0.030951943623229283,-0.43939670899129746,-0.016445034382652324,0.00014388424127287358
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:10:00+00:00,>24h,0.9920000000000001,-0.007999999999999896,27.458165322580648,2.5163950210555415,1.5863149186260406,1.736874208603797,0.7711693548387096,5,10,567,0,0.020000000000000018,0.060599999999999994,0.016445034382652324,-0.4221838471258711,0.014698999027395132,0.000654718269156529
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:11:00+00:00,>24h,0.9920000000000001,-0.007999999999999896,27.458165322580648,2.5163950210555415,1.5863149186260406,1.736874208603797,0.7711693548387096,5,10,400,0,0.020000000000000018,0.060599999999999994,0.0,-0.3793752980428261,0.02062255620722908,0.00369279880895923
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:12:00+00:00,>24h,0.9950000000000001,-0.004999999999999893,27.472864321608043,2.496499835862731,1.5800315933115803,1.7375289268729535,0.7688442211055276,5,10,202,0,0.020000000000000018,0.0606,0.014698999027395132,-0.5063891709363098,0.004144268589026723,0.002299433852615884
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:13:00+00:00,>24h,0.9899999999999999,-0.01000000000000012,27.478787878787877,2.508135904499541,1.583709539183098,1.7405670074127562,0.7676767676767677,5,10,319,0,0.015000000000000013,0.05970000000000001,0.005923557179833949,-0.4487807307681204,0.0,0.0
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:14:00+00:00,>24h,0.9894999999999999,-0.010500000000000065,27.47700859019707,2.503134861472444,1.5821298497507856,1.7398283607255693,0.7680646791308743,5,10,216,0,0.015000000000000013,0.0606,0.0017792885908072265,-0.39260194229654555,0.0017792885908072265,0.0007386466871868169
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:15:00+00:00,>24h,0.9899999999999999,-0.01000000000000012,27.478787878787877,2.508135904499541,1.583709539183098,1.7405670074127562,0.7676767676767677,5,10,326,0,0.015000000000000013,0.05970000000000001,0.0017792885908072265,-0.4496036713134789,-0.007696878285109676,-0.0037833592041822683
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:16:00+00:00,>24h,0.9899999999999999,-0.01000000000000012,27.478787878787877,2.508135904499541,1.583709539183098,1.7405670074127562,0.7676767676767677,5,10,160,0,0.015000000000000013,0.05970000000000001,0.0,-0.4508157082326578,-0.0059508566550796616,-0.00458248541478512
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:17:00+00:00,>24h,0.9945,-0.005499999999999949,27.471091000502767,2.491497100316194,1.5784476869114776,1.736783648208574,0.7692307692307694,5,10,336,0,0.020000000000000018,0.0597,0.007696878285109676,-0.3767980333450597,-0.011372974319485252,-0.004962028818024322
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:18:00+00:00,>24h,0.994,-0.006000000000000005,27.472837022132797,2.486686719917088,1.576923181362075,1.735984521997971,0.7696177062374245,5,10,342,0,0.020000000000000018,0.0597,0.0017460216300300146,-0.3925906278753513,-0.014860172610905664,-0.003375267855519226
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:19:00+00:00,>24h,0.9930000000000001,-0.006999999999999895,27.459718026183282,2.4558295277415216,1.5671086521813098,1.7318216193905496,0.770392749244713,5,10,272,0,0.022000000000000013,0.058800000000000005,0.013118995949515266,-0.41659800674148045,-0.00526407550386665,0.000820326654721315
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:20:00+00:00,>24h,0.9935000000000002,-0.006499999999999839,27.45797684952189,2.460614527898882,1.5686346062416454,1.7326092541424518,0.7700050327126321,5,10,175,0,0.022000000000000013,0.058800000000000005,0.0017411766613903978,-0.3514681398751703,0.007852296206753095,0.0020697382326027025
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:21:00+00:00,>24h,0.9935,-0.00649999999999995,27.454453950679415,2.4603060304662745,1.5685362700512457,1.7326419460452709,0.7700050327126321,5,10,211,0,0.022000000000000013,0.0597,0.003522898842476252,-0.3219821408577765,0.012648008135258237,0.0027181700747558324
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:22:00+00:00,>24h,0.9950000000000001,-0.004999999999999893,27.465829145728645,2.469937880356557,1.57160360153461,1.7346789923750545,0.7688442211055276,5,10,187,0,0.022000000000000013,0.058600000000000006,0.011375195049229347,-0.54352497263931,-0.011514424916462929,0.00706616296890239
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:23:00+00:00,>24h,0.9955000000000002,-0.0044999999999998375,27.467101958814673,2.471921234707364,1.5722344719243895,1.7353601161200267,0.7684580612757408,5,10,241,0,0.022000000000000013,0.05670000000000001,0.00127281308602889,-0.17726395763453726,-0.035640147990189774,-0.002513457860654711
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:24:00+00:00,>24h,0.985,-0.015000000000000013,27.45431472081218,2.499689505011724,1.581040639898837,1.741745155343957,0.766497461928934,5,10,478,0,0.011000000000000005,0.05960000000000001,0.012787238002491819,-0.3266437417901412,-0.02718921473930891,-0.00952218557444029
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:25:00+00:00,>24h,0.9885000000000002,-0.011499999999999844,27.431461810824484,2.505292400286655,1.5828115492018167,1.732846658259372,0.7738998482549316,5,10,192,0,0.02100000000000001,0.05670000000000001,0.022852909987697956,-0.09708514671405973,0.008881970773092718,0.0006550689417998967
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:26:00+00:00,>24h,0.9880000000000002,-0.011999999999999789,27.427125506072873,2.505822911373732,1.5829791253752312,1.7322229697695166,0.7742914979757085,5,10,384,0,0.02100000000000001,0.056900000000000006,0.004336304751610953,-0.09805246092108563,-0.028963178354647567,-0.0051144621049827865
