event_slug,city,event_date,cohort,sample_activity,token_id,factor,horizon_seconds,lifecycle_bucket,rows,valid_rows,coverage,zero_rate,ic,crossing_markout
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,600,>24h,8494,8494,1.0,0.4081704732752531,0.328343633111589,-0.0086156835040621
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,900,all,25207,24051,0.9541397230927916,0.6919878591326764,0.0916204443169386,-0.0038491268191268
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,900,6-24h,16713,15557,0.930832286244241,0.8724047052773671,-0.1592737212051594,-0.0012164620428103
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,900,>24h,8494,8494,1.0,0.3615493289380739,0.4213194702572075,-0.0086714941716707
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,30,all,25207,25161,0.9981751100884676,0.9106553793569412,-0.0167522819113069,-0.0033120826709062
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,30,6-24h,16713,16667,0.99724765152875,0.9722805543889124,-0.0648851409356081,-0.0009411711765764
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,30,>24h,8494,8494,1.0,0.7897339298328232,-0.0356796177809399,-0.0079648534086895
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,60,all,25207,25103,0.995874161939144,0.871608971039318,-0.0223143469012173,-0.0033289379332324
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,60,6-24h,16713,16609,0.9937772991084785,0.9624902161478716,-0.1156844563076615,-0.0009741706303811
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,60,>24h,8494,8494,1.0,0.693901577584177,-0.0804140887432247,-0.0079339456022606
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,120,all,25207,24978,0.9909152219621534,0.8295700216190247,0.0009405822267899,-0.0033514633462785
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,120,6-24h,16713,16484,0.9862980913061687,0.9519534093666586,-0.1088015947060837,-0.001022324678476
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,120,>24h,8494,8494,1.0,0.5920649870496821,-0.0971368309890911,-0.0078720711173907
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,300,all,25207,24686,0.9793311381759036,0.8060034027383942,-0.0132976155129287,-0.0035091553575045
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,300,6-24h,16713,16192,0.9688266618799736,0.9259510869565216,-0.1703496309246741,-0.0011216650197628
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,300,>24h,8494,8494,1.0,0.5773487167412291,-0.0916571516170732,-0.0080609325326739
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,600,all,25207,24583,0.9752449716348632,0.754017003620388,0.0168577768886654,-0.0037303718167765
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,600,6-24h,16713,16089,0.9626637946508706,0.9366026477717696,-0.0383024659056366,-0.0011515321026788
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,600,>24h,8494,8494,1.0,0.4081704732752531,-0.0075190761625272,-0.0086156835040621
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,900,all,25207,24051,0.9541397230927916,0.6919878591326764,0.0185605075248257,-0.0038491268191268
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,900,6-24h,16713,15557,0.930832286244241,0.8724047052773671,-0.1668803464326612,-0.0012164620428103
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,microprice_minus_mid,900,>24h,8494,8494,1.0,0.3615493289380739,0.0331067225805083,-0.0086714941716707
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,30,all,44785,44695,0.99799039857095,0.6179885893276653,0.0388619824827403,-0.0205825439326778
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,30,6-24h,32436,32346,0.9972253052164262,0.564366536820627,0.0341106275908209,-0.023882382103241
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,30,>24h,12349,12349,1.0,0.75844197910762,0.071395356156091,-0.0118308817487057
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,60,all,44785,44638,0.9967176509992184,0.552690532729961,0.0571608854442791,-0.0204824381561753
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,60,6-24h,32436,32289,0.9954679985201628,0.4846232463067917,0.0599985039481713,-0.0237734270726635
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,60,>24h,12349,12349,1.0,0.730666450724755,0.0559511590064144,-0.0117696606130331
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,120,all,44785,44422,0.9918946075694988,0.4525010130115708,0.0343572375254009,-0.0207565542223228
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,120,6-24h,32436,32073,0.9888087310395856,0.3632026938546441,0.0438493592839508,-0.0241563388644104
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,120,>24h,12349,12349,1.0,0.6844278888978864,0.0247178113669627,-0.011816090064919
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,300,all,44785,43776,0.9774701350898738,0.3710480628654971,0.0230102509513693,-0.0216751332598106
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,300,6-24h,32436,31427,0.9688925884819336,0.2686225220351926,0.0402707055755727,-0.0254448572795407
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,300,>24h,12349,12349,1.0,0.6317110697222447,-0.0059769901937572,-0.0119619525022598
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,600,all,44785,43718,0.9761750586133752,0.3177867240038428,0.0049736406910798,-0.0217939308885105
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,600,6-24h,32436,31369,0.9671044518436306,0.2286652427555867,0.0329955421235843,-0.0255035626417867
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,600,>24h,12349,12349,1.0,0.5441736172969471,-0.0385682637481241,-0.0122532664968362
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,900,all,44785,42636,0.9520151836552416,0.2609062763861525,-0.0139874157882702,-0.022867284824462
