event_slug,city,event_date,cohort,factor,horizon_seconds,lifecycle_bucket,ic,zero_rate,crossing_markout,coverage,tokens
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,300,all,0.10252327365698122,0.735553898448758,-0.0068348885065671735,0.9979009619924258,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,600,1-6h,0.15046391777856316,0.45622304683582393,-0.002552941028984,0.3384517823979707,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,600,6-24h,0.07682236596160595,0.6069323283487218,-0.009994250481038901,0.9480262666970124,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,600,>24h,0.13800405797396745,0.6876663466226697,-0.005733476036775536,0.9985468868670057,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,600,all,0.13308373453604289,0.6726915936721765,-0.0069688999901968175,0.9952956431827573,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,900,1-6h,-0.17143396976231706,0.11384569377990425,-0.0025993122009569,0.3092924763328351,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,900,6-24h,0.06328000583034415,0.5568025260979511,-0.010767441443193568,0.9390262975051241,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,900,>24h,0.15195888254695433,0.6428005723471585,-0.005532151152434773,0.9981435888629242,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,900,all,0.13733406935697862,0.626066711434201,-0.007080655300520791,0.9941681691077245,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,30,1-6h,-0.05982773957465405,0.644845971563981,-0.001560148844786725,0.464924610454319,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,30,6-24h,0.046992071890061556,0.8198449693192789,-0.007846672543072645,0.9983350435952318,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,30,>24h,0.08103905813336221,0.8800372407579566,-0.006182083063405536,0.9996519997854086,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,30,all,0.07283404601930527,0.8656850680602208,-0.006548442419499009,0.9993902742351618,11
