event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,2026-06-05 05:15:00+00:00,>24h,11,11,8,False,0.853,-0.14700000000000002,53.18,15.227,0.07,0.014500000000000004,53.175,False,0.746,0.96
highest-temperature-in-karachi-on-june-9-2026,Karachi,2026-06-09,clean,2026-06-09 04:29:00+00:00,6-24h,11,11,11,True,1.147,0.14700000000000002,161244.727,20.041,0.14999999999999997,0.005999999999999999,161244.608,False,0.9690000000000001,1.3250000000000002
highest-temperature-in-seoul-on-june-10-2026,Seoul,2026-06-10,clean,2026-06-08 04:36:00+00:00,>24h,11,11,11,True,1.147,0.14700000000000002,467.122,8.542,0.05,0.010000000000000009,465.191,False,1.044,1.25
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 14:52:00+00:00,>24h,11,10,10,False,0.8530000000000001,-0.1469999999999999,24.358,3.8019999999999996,0.09,0.010000000000000009,21.512,True,0.744,0.9620000000000001
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 14:51:00+00:00,>24h,11,10,10,False,0.8530000000000001,-0.1469999999999999,18.426,4.6375,0.09,0.010000000000000009,17.539,True,0.744,0.9620000000000001
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,degraded,2026-06-05 04:26:00+00:00,>24h,11,11,11,True,1.1469999999999998,0.1469999999999998,86.114,17.698,0.168,0.06999999999999995,83.85,False,0.7360000000000001,1.558
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 07:39:00+00:00,>24h,11,10,10,False,0.8534999999999999,-0.14650000000000007,12.244,6.038,0.04999999999999999,0.0065000000000000014,11.307,True,0.7810000000000001,0.9259999999999999
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,2026-06-08 04:17:00+00:00,>24h,11,11,11,True,1.1465,0.14650000000000007,158.227,16.96,0.34,0.060000000000000005,156.358,False,0.523,1.7700000000000002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 10:21:00+00:00,>24h,11,10,10,False,0.8534999999999999,-0.14650000000000007,38.074,20.301000000000002,0.11000000000000001,0.036000000000000004,30.162,True,0.669,1.038
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 07:36:00+00:00,>24h,11,10,10,False,0.8534999999999999,-0.14650000000000007,13.546,8.232,0.07,0.0065000000000000014,5.479,True,0.7510000000000001,0.956
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,2026-06-06 23:38:00+00:00,>24h,11,11,11,True,1.1465,0.14650000000000007,6.521,5.778,0.03999999999999998,0.006999999999999999,2.7439999999999998,False,1.0739999999999998,1.219
highest-temperature-in-seoul-on-june-10-2026,Seoul,2026-06-10,clean,2026-06-08 04:38:00+00:00,>24h,11,11,11,True,1.1465,0.14650000000000007,587.122,4.868,0.05,0.020000000000000018,586.12,False,1.0170000000000001,1.2759999999999998
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 21:37:00+00:00,>24h,11,10,10,False,0.8535,-0.14649999999999996,3.325,0.039,0.10999999999999999,0.016,3.286,True,0.705,1.002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 21:36:00+00:00,>24h,11,10,10,False,0.8535,-0.14649999999999996,11.055,5.84,0.10999999999999999,0.016,10.892,True,0.705,1.002
highest-temperature-in-seoul-on-june-10-2026,Seoul,2026-06-10,clean,2026-06-10 05:44:00+00:00,6-24h,11,11,11,True,1.1464999999999999,0.14649999999999985,156550.752,12838.696,0.3,0.002999999999999999,156550.749,False,0.973,1.3199999999999998
highest-temperature-in-tel-aviv-on-june-7-2026,Tel Aviv,2026-06-07,degraded,2026-06-07 10:08:00+00:00,6-24h,11,11,11,True,1.1464999999999999,0.14649999999999985,75244.468,8069.021,0.14,0.003,75244.444,False,1.0039999999999998,1.289
highest-temperature-in-wellington-on-june-9-2026,Wellington,2026-06-09,clean,2026-06-07 05:51:00+00:00,>24h,11,11,11,True,1.1464999999999999,0.14649999999999985,16.789,16.692,0.19999999999999998,0.010000000000000009,7.259,False,0.8390000000000001,1.454
highest-temperature-in-mexico-city-on-june-8-2026,Mexico City,2026-06-08,clean,2026-06-08 18:17:00+00:00,6-24h,11,11,11,True,1.1464999999999999,0.14649999999999985,74478.655,1832.933,0.17000000000000004,0.004,74478.611,False,0.979,1.3139999999999998
highest-temperature-in-manila-on-june-8-2026,Manila,2026-06-08,clean,2026-06-08 04:43:00+00:00,6-24h,11,11,11,True,1.1464999999999999,0.14649999999999985,68673.796,8788.224,0.4,0.002,68673.787,False,0.807,1.4859999999999998
highest-temperature-in-san-francisco-on-june-7-2026,San Francisco,2026-06-07,clean,2026-06-07 15:00:00+00:00,6-24h,11,11,11,True,0.8539999999999998,-0.14600000000000024,65529.834,1.749,0.11999999999999997,0.009999999999999998,65529.396,False,0.678,1.03
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 10:20:00+00:00,>24h,11,10,10,False,0.8539999999999999,-0.14600000000000013,28.954,18.7875,0.11000000000000001,0.044500000000000005,28.838,True,0.656,1.052
highest-temperature-in-houston-on-june-8-2026,Houston,2026-06-08,clean,2026-06-07 02:13:00+00:00,>24h,11,11,11,True,1.1460000000000001,0.14600000000000013,24.459,23.894,0.121,0.030000000000000002,21.873,False,0.905,1.387
highest-temperature-in-kuala-lumpur-on-june-9-2026,Kuala Lumpur,2026-06-09,clean,2026-06-07 14:29:00+00:00,>24h,11,11,11,True,1.1460000000000001,0.14600000000000013,2.125,1.672,0.06,0.03,1.163,False,0.994,1.2979999999999998
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 22:00:00+00:00,>24h,11,10,10,False,0.854,-0.14600000000000002,47.001,11.4665,0.09999999999999998,0.015500000000000002,46.968,True,0.726,0.9820000000000001
highest-temperature-in-kuala-lumpur-on-june-9-2026,Kuala Lumpur,2026-06-09,clean,2026-06-07 06:09:00+00:00,>24h,11,11,11,True,0.854,-0.14600000000000002,1.12,1.081,0.14999999999999997,0.04000000000000001,0.969,False,0.532,1.1759999999999997
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 22:02:00+00:00,>24h,11,10,10,False,0.8540000000000001,-0.1459999999999999,2.127,1.5430000000000001,0.08999999999999997,0.015500000000000002,1.03,True,0.7160000000000001,0.9920000000000001
highest-temperature-in-wellington-on-june-9-2026,Wellington,2026-06-09,clean,2026-06-07 05:19:00+00:00,>24h,11,11,11,True,1.146,0.1459999999999999,39.716,19.632,0.21999999999999997,0.03999999999999998,30.133,False,0.7260000000000001,1.566
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 21:32:00+00:00,>24h,11,10,10,False,0.8540000000000001,-0.1459999999999999,7.742,0.7284999999999999,0.10999999999999999,0.015500000000000002,7.603,True,0.706,1.002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 21:31:00+00:00,>24h,11,10,10,False,0.8540000000000001,-0.1459999999999999,1.775,0.7295,0.10999999999999999,0.015500000000000002,1.089,True,0.706,1.002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 21:35:00+00:00,>24h,11,10,10,False,0.8540000000000001,-0.1459999999999999,27.835,16.4005,0.10999999999999999,0.015500000000000002,27.818,True,0.706,1.002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 21:34:00+00:00,>24h,11,10,10,False,0.8540000000000001,-0.1459999999999999,30.052,8.152000000000001,0.10999999999999999,0.015500000000000002,29.951,True,0.706,1.002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 21:33:00+00:00,>24h,11,10,10,False,0.8540000000000001,-0.1459999999999999,27.204,2.173,0.10999999999999999,0.015500000000000002,26.95,True,0.706,1.002
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,clean,2026-06-06 19:09:00+00:00,6-24h,11,11,11,True,1.146,0.1459999999999999,25245.337,0.081,0.53,0.002,25245.317,False,0.5009999999999999,1.791
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,degraded,2026-06-05 04:30:00+00:00,>24h,11,11,11,True,1.1459999999999997,0.14599999999999969,15.319,7.801,0.09,0.03,14.089,False,0.953,1.339
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,2026-06-06 23:36:00+00:00,>24h,11,11,11,True,1.1455000000000002,0.14550000000000018,56.942,6.869,0.03,0.006999999999999999,55.95,False,1.0839999999999999,1.207
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,2026-06-06 23:32:00+00:00,>24h,11,11,11,True,1.1455000000000002,0.14550000000000018,1.483,1.478,0.03999999999999998,0.006999999999999999,0.046,False,1.0739999999999998,1.217
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,2026-06-06 23:33:00+00:00,>24h,11,11,11,True,1.1455000000000002,0.14550000000000018,15.334,15.006,0.03999999999999998,0.006999999999999999,13.03,False,1.0739999999999998,1.217
highest-temperature-in-karachi-on-june-9-2026,Karachi,2026-06-09,clean,2026-06-07 05:01:00+00:00,>24h,11,11,11,True,0.8544999999999999,-0.14550000000000007,27.942,22.99,0.24,0.06,22.056,False,0.415,1.294
highest-temperature-in-munich-on-june-9-2026,Munich,2026-06-09,clean,2026-06-07 09:10:00+00:00,>24h,11,11,11,True,1.1455,0.14549999999999996,73.538,0.106,0.12,0.01999999999999999,73.534,False,0.908,1.3829999999999998
highest-temperature-in-kuala-lumpur-on-june-9-2026,Kuala Lumpur,2026-06-09,clean,2026-06-07 14:22:00+00:00,>24h,11,11,11,True,1.1455,0.14549999999999996,1.081,0.177,0.06999999999999995,0.03899999999999999,0.938,False,0.984,1.3069999999999997
highest-temperature-in-kuala-lumpur-on-june-9-2026,Kuala Lumpur,2026-06-09,clean,2026-06-07 06:07:00+00:00,>24h,11,11,11,True,0.8545,-0.14549999999999996,69.51,18.631,0.09999999999999999,0.04000000000000001,67.517,False,0.6030000000000001,1.1059999999999999
