event_slug,city,event_date,timestamp,snapshot,market_index,market_label,temperature_bin,raw_mid,normalized_probability
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,0.0,28°C or below,28.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,1.0,29°C,29.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,2.0,30°C,30.0,0.9984999999999999,0.9866600790513833
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,3.0,31°C,31.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,4.0,32°C,32.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,5.0,33°C,33.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,6.0,34°C,34.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,7.0,35°C,35.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,8.0,36°C,36.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 03:08:00+00:00,T-24,9.0,37°C,37.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,0.0,28°C or below,28.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,1.0,29°C,29.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,2.0,30°C,30.0,0.9984999999999999,0.9866600790513833
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,3.0,31°C,31.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,4.0,32°C,32.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,5.0,33°C,33.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,6.0,34°C,34.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,7.0,35°C,35.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,8.0,36°C,36.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-6,9.0,37°C,37.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,0.0,28°C or below,28.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,1.0,29°C,29.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,2.0,30°C,30.0,0.9984999999999999,0.9866600790513833
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,3.0,31°C,31.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,4.0,32°C,32.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,5.0,33°C,33.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,6.0,34°C,34.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,7.0,35°C,35.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,8.0,36°C,36.0,0.0015,0.001482213438735178
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-07 16:11:00+00:00,T-1,9.0,37°C,37.0,0.0015,0.001482213438735178
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,0.0,79°F or below,79.0,0.0055,0.005121042830540037
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,1.0,80-81°F,80.0,0.0055,0.005121042830540037
